using cpu device.
train epoch[14/20] loss:0.002
train epoch[14/20] loss:0.001
train epoch[15/20] loss:15.977
train epoch[15/20] loss:17.935
train epoch[15/20] loss:0.001
train epoch[15/20] loss:0.001
train epoch[15/20] loss:0.001
train epoch[15/20] loss:0.011
train epoch[15/20] loss:0.008
train epoch[15/20] loss:0.007
train epoch[15/20] loss:0.007
train epoch[15/20] loss:10.179
train epoch[15/20] loss:12.556
train epoch[15/20] loss:9.050
train epoch[15/20] loss:10.664
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[15/20] loss:0.000
train epoch[16/20] loss:17.167
train epoch[16/20] loss:14.401
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.002
train epoch[16/20] loss:0.002
train epoch[16/20] loss:0.002
train epoch[16/20] loss:0.002
train epoch[16/20] loss:10.548
train epoch[16/20] loss:7.824
train epoch[16/20] loss:7.107
train epoch[16/20] loss:8.221
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.000
train epoch[16/20] loss:0.001
train epoch[16/20] loss:0.002
train epoch[16/20] loss:0.002
train epoch[16/20] loss:0.002
train epoch[16/20] loss:0.003
train epoch[16/20] loss:0.003
train epoch[16/20] loss:0.003
train epoch[17/20] loss:11.941
train epoch[17/20] loss:18.726
train epoch[17/20] loss:0.001
train epoch[17/20] loss:0.002
train epoch[17/20] loss:0.004
train epoch[17/20] loss:0.007
train epoch[17/20] loss:0.011
train epoch[17/20] loss:0.016
